"region","column","response","n","prop","pref_label"
"Region 1","pref_location","Miles City",66,0.846153846153846,"85% (66)"
"Region 1","pref_location","Glendive",62,0.794871794871795,"79% (62)"
"Region 1","pref_location","Sidney",46,0.58974358974359,"59% (46)"
"Region 1","pref_location","Billings",45,0.576923076923077,"58% (45)"
"Region 1","pref_location","Glasgow",25,0.320512820512821,"32% (25)"
"Region 1","pref_location","Havre",5,0.0641025641025641,"6% (5)"
"Region 1","pref_location","Great Falls",2,0.0256410256410256,"3% (2)"
"Region 1","pref_location","Bozeman",1,0.0128205128205128,"1% (1)"
"Region 1","pref_location","Helena",1,0.0128205128205128,"1% (1)"
"Region 2","pref_location","Great Falls",51,0.980769230769231,"98% (51)"
"Region 2","pref_location","Helena",28,0.538461538461538,"54% (28)"
"Region 2","pref_location","Havre",26,0.5,"50% (26)"
"Region 2","pref_location","Kalispell",8,0.153846153846154,"15% (8)"
"Region 2","pref_location","Missoula",8,0.153846153846154,"15% (8)"
"Region 2","pref_location","Butte",5,0.0961538461538462,"10% (5)"
"Region 2","pref_location","Billings",3,0.0576923076923077,"6% (3)"
"Region 2","pref_location","Bozeman",3,0.0576923076923077,"6% (3)"
"Region 2","pref_location","Other (please specify)",2,0.0384615384615385,"4% (2)"
"Region 2","pref_location","Miles City",1,0.0192307692307692,"2% (1)"
"Region 3","pref_location","Billings",57,0.982758620689655,"98% (57)"
"Region 3","pref_location","Bozeman",29,0.5,"50% (29)"
"Region 3","pref_location","Miles City",17,0.293103448275862,"29% (17)"
"Region 3","pref_location","Great Falls",10,0.172413793103448,"17% (10)"
"Region 3","pref_location","Helena",10,0.172413793103448,"17% (10)"
"Region 3","pref_location","Butte",5,0.0862068965517241,"9% (5)"
"Region 3","pref_location","Missoula",5,0.0862068965517241,"9% (5)"
"Region 3","pref_location","Glendive",3,0.0517241379310345,"5% (3)"
"Region 3","pref_location","Havre",3,0.0517241379310345,"5% (3)"
"Region 3","pref_location","Glasgow",2,0.0344827586206897,"3% (2)"
"Region 3","pref_location","Kalispell",2,0.0344827586206897,"3% (2)"
"Region 3","pref_location","Sidney",2,0.0344827586206897,"3% (2)"
"Region 3","pref_location","Other (please specify)",1,0.0172413793103448,"2% (1)"
"Region 4","pref_location","Helena",108,0.771428571428571,"77% (108)"
"Region 4","pref_location","Bozeman",101,0.721428571428571,"72% (101)"
"Region 4","pref_location","Butte",90,0.642857142857143,"64% (90)"
"Region 4","pref_location","Missoula",52,0.371428571428571,"37% (52)"
"Region 4","pref_location","Great Falls",33,0.235714285714286,"24% (33)"
"Region 4","pref_location","Billings",24,0.171428571428571,"17% (24)"
"Region 4","pref_location","Miles City",4,0.0285714285714286,"3% (4)"
"Region 4","pref_location","Kalispell",3,0.0214285714285714,"2% (3)"
"Region 4","pref_location","Other (please specify)",3,0.0214285714285714,"2% (3)"
"Region 4","pref_location","Glasgow",1,0.00714285714285714,"1% (1)"
"Region 4","pref_location","Glendive",1,0.00714285714285714,"1% (1)"
"Region 4","pref_location","Havre",1,0.00714285714285714,"1% (1)"
"Region 4","pref_location","Sidney",1,0.00714285714285714,"1% (1)"
"Region 5","pref_location","Missoula",115,0.958333333333333,"96% (115)"
"Region 5","pref_location","Kalispell",61,0.508333333333333,"51% (61)"
"Region 5","pref_location","Helena",45,0.375,"38% (45)"
"Region 5","pref_location","Butte",27,0.225,"22% (27)"
"Region 5","pref_location","Bozeman",16,0.133333333333333,"13% (16)"
"Region 5","pref_location","Great Falls",14,0.116666666666667,"12% (14)"
"Region 5","pref_location","Other (please specify)",7,0.0583333333333333,"6% (7)"
"Region 5","pref_location","Billings",6,0.05,"5% (6)"
"Region 5","pref_location","Havre",2,0.0166666666666667,"2% (2)"
