"question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","min_prop","max_prop","rng_prop","grouping","group_col"
"s_treated_fair_sex_orient_recat",99.3303571428571,448,445,0.0816484349044083,0.385752595883411,98.5742820549257,100.086432230789,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_treated_fair_gender_recat",98.4375,448,441,0.124158239583106,0.586592544922273,97.2877786119523,99.5872213880477,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_treated_fair_diability_recat",97.5446428571429,448,437,0.154933129215812,0.731990231696559,96.1099420030176,98.9793437112681,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_treated_fair_race_recat",97.3214285714286,448,436,0.16163711827966,0.76366360286627,95.8246479098107,98.8182092330465,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_treated_fair_age_recat",96.2053571428571,448,431,0.191280336537902,0.903714644957197,94.434076438741,97.9766378469732,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_work_unit_recat",93.3035714285714,448,418,0.250239578397097,1.18227087968637,90.9863205043861,95.6208223527567,"org & team",88.8392857142857,93.3035714285714,4.46428571428572,"statewide","statewide_results"
"s_supervisor_recat",92.6339285714286,448,415,0.261509969305228,1.23551847168887,90.2123123669184,95.0555447759388,"supervisor",87.0535714285714,92.6339285714286,5.58035714285714,"statewide","statewide_results"
"s_job_recat",92.1875,448,413,0.268668208510017,1.26933797304777,89.6995975728264,94.6754024271736,"job",83.7053571428571,92.1875,8.48214285714286,"statewide","statewide_results"
"s_belonging_work_unit_recat",91.5178571428571,448,410,0.278927258381465,1.31780742777574,88.9349545844167,94.1007597012976,"belonging",88.3928571428571,91.5178571428571,3.125,"statewide","statewide_results"
"f_treated_fairly_recat",89.9553571428571,448,403,0.300930364656018,1.42176233362108,87.1687029689598,92.7420113167545,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_org_recat",88.8392857142857,448,398,0.315234520337478,1.48934311692089,85.9201732051207,91.7583982234507,"org & team",88.8392857142857,93.3035714285714,4.46428571428572,"statewide","statewide_results"
"s_belonging_agency_recat",88.3928571428571,448,396,0.320668644669256,1.51501694116248,85.4234239381787,91.3622903475356,"belonging",88.3928571428571,91.5178571428571,3.125,"statewide","statewide_results"
"f_psych_safe_recat",88.1696428571429,448,395,0.323328296442302,1.52758261467232,85.1755809323851,91.1637047819006,"treated fairly",88.1696428571429,99.3303571428571,11.1607142857143,"statewide","statewide_results"
"s_sup_interpersonal_skills_recat",87.0535714285714,448,390,0.336088406622655,1.58786846867053,83.9413492299772,90.1657936271657,"supervisor",87.0535714285714,92.6339285714286,5.58035714285714,"statewide","statewide_results"
"s_benefits_recat",86.6071428571429,448,388,0.340956299935877,1.6108671028055,83.4498433356441,89.7644423786416,"pay & benefits",67.6339285714286,86.6071428571429,18.9732142857143,"statewide","statewide_results"
"f_voice_concerns_recat",85.9375,448,385,0.348022939535533,1.64425383670837,82.7147624800516,89.1602375199484,"voice",79.0178571428571,85.9375,6.91964285714286,"statewide","statewide_results"
"f_manage_demands_recat",85.7142857142857,448,384,0.350318304787551,1.65509841818141,82.4702928146502,88.9582786139213,"balance",84.8214285714286,85.7142857142857,0.892857142857139,"statewide","statewide_results"
"f_work_life_balance_recat",84.8214285714286,448,380,0.359214191549658,1.69712753258128,81.4950586075693,88.1477985352879,"balance",84.8214285714286,85.7142857142857,0.892857142857139,"statewide","statewide_results"
"f_love_job_recat",83.7053571428571,448,375,0.36972966336138,1.74680846710329,80.2816125473347,87.1291017383796,"job",83.7053571428571,92.1875,8.48214285714286,"statewide","statewide_results"
"f_happy_input_recat",79.0178571428571,448,354,0.407636242069463,1.92590021766558,75.2430927162326,82.7926215694817,"voice",79.0178571428571,85.9375,6.91964285714286,"statewide","statewide_results"
"f_paid_fairly_recat",68.0803571428571,448,305,0.466686426669266,2.20488611645761,63.7587803546002,72.401933931114,"pay & benefits",67.6339285714286,86.6071428571429,18.9732142857143,"statewide","statewide_results"
"s_pay_recat",67.6339285714286,448,303,0.468395319634406,2.21295987682008,63.2965272128612,71.9713299299959,"pay & benefits",67.6339285714286,86.6071428571429,18.9732142857143,"statewide","statewide_results"
